,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
350,0 days 01:15:14.655000,11,0 days 00:01:35.137000,33,,,0 days 00:00:34.078000,0 days 00:00:42.711000,0 days 00:00:18.348000,0 days 01:14:13.596000,0 days 01:14:56.307000,0 days 01:15:14.655000,275,309,263,306,FALSE,SOFT,9,TRUE,2,0 days 01:13:39.518000,Racing Point,PER,1,TRUE,08:39.6,28,52,1008.3,FALSE,35.2,315,1.9,14
351,0 days 01:16:49.819000,11,0 days 00:01:35.164000,34,,,0 days 00:00:34.041000,0 days 00:00:42.672000,0 days 00:00:18.451000,0 days 01:15:48.696000,0 days 01:16:31.368000,0 days 01:16:49.819000,,310,263,306,FALSE,SOFT,10,TRUE,2,0 days 01:15:14.655000,Racing Point,PER,1,TRUE,10:14.8,27.9,51.8,1008.3,FALSE,35,323,2,14
352,0 days 01:18:24.996000,11,0 days 00:01:35.177000,35,,,0 days 00:00:34.094000,0 days 00:00:42.722000,0 days 00:00:18.361000,0 days 01:17:23.913000,0 days 01:18:06.635000,0 days 01:18:24.996000,,310,263,310,FALSE,SOFT,11,TRUE,2,0 days 01:16:49.819000,Racing Point,PER,1,TRUE,11:50.0,27.8,51.5,1008.2,FALSE,35.2,341,2.9,14
353,0 days 01:20:00.219000,11,0 days 00:01:35.223000,36,,,0 days 00:00:34.118000,0 days 00:00:42.751000,0 days 00:00:18.354000,0 days 01:18:59.114000,0 days 01:19:41.865000,0 days 01:20:00.219000,273,310,263,306,FALSE,SOFT,12,TRUE,2,0 days 01:18:24.996000,Racing Point,PER,1,TRUE,13:25.1,27.7,51.6,1008.3,FALSE,35.9,341,2.8,14
354,0 days 01:21:35.467000,11,0 days 00:01:35.248000,37,,,0 days 00:00:34.174000,0 days 00:00:42.672000,0 days 00:00:18.402000,0 days 01:20:34.393000,0 days 01:21:17.065000,0 days 01:21:35.467000,276,309,263,308,FALSE,SOFT,13,TRUE,2,0 days 01:20:00.219000,Racing Point,PER,1,TRUE,15:00.4,27.8,51.5,1008.2,FALSE,36.1,340,2.7,14
355,0 days 01:23:10.882000,11,0 days 00:01:35.415000,38,,,0 days 00:00:34.279000,0 days 00:00:42.717000,0 days 00:00:18.419000,0 days 01:22:09.746000,0 days 01:22:52.463000,0 days 01:23:10.882000,275,310,263,302,FALSE,SOFT,14,TRUE,2,0 days 01:21:35.467000,Racing Point,PER,1,TRUE,16:35.6,27.9,50.9,1008.2,FALSE,36.1,345,3.1,14
356,0 days 01:24:46.179000,11,0 days 00:01:35.297000,39,,,0 days 00:00:34.229000,0 days 00:00:42.700000,0 days 00:00:18.368000,0 days 01:23:45.111000,0 days 01:24:27.811000,0 days 01:24:46.179000,274,310,263,307,FALSE,SOFT,15,TRUE,2,0 days 01:23:10.882000,Racing Point,PER,2,TRUE,18:11.0,27.7,51.6,1008.2,FALSE,35.7,339,2.4,14
357,0 days 01:26:28.293000,11,0 days 00:01:42.114000,40,,,0 days 00:00:33.919000,0 days 00:00:43.437000,0 days 00:00:24.758000,0 days 01:25:20.098000,0 days 01:26:03.535000,0 days 01:26:28.293000,,310,151,310,FALSE,SOFT,16,TRUE,2,0 days 01:24:46.179000,Racing Point,PER,26,FALSE,19:46.3,27.8,51.6,1008.3,FALSE,35.7,288,3.1,14
358,0 days 01:28:16.116000,11,0 days 00:01:47.823000,41,,,0 days 00:00:45.809000,0 days 00:00:43.760000,0 days 00:00:18.254000,0 days 01:27:14.102000,0 days 01:27:57.862000,0 days 01:28:16.116000,254,316,263,312,FALSE,SOFT,17,TRUE,2,0 days 01:26:28.293000,Racing Point,PER,67,FALSE,21:28.4,28.1,51.4,1008.3,FALSE,35.9,334,1.1,14
359,0 days 01:29:50.383000,11,0 days 00:01:34.267000,42,,,0 days 00:00:33.784000,0 days 00:00:42.377000,0 days 00:00:18.106000,0 days 01:28:49.900000,0 days 01:29:32.277000,0 days 01:29:50.383000,275,307,263,307,FALSE,SOFT,18,TRUE,2,0 days 01:28:16.116000,Racing Point,PER,1,TRUE,23:16.2,28.1,51,1008.2,FALSE,35.6,341,2.1,14
