,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
662,0 days 01:29:10.855000,11,0 days 00:01:37.889000,47,,,0 days 00:00:25.880000,0 days 00:00:29.767000,0 days 00:00:42.242000,0 days 01:27:58.846000,0 days 01:28:28.613000,0 days 01:29:10.855000,276,272,265,334,FALSE,SOFT,1,TRUE,2,0 days 01:27:32.966000,Force India,PER,1,TRUE,33:33.1,19.5,25.2,1018.1,FALSE,37.5,78,2.4,9
663,0 days 01:30:49.190000,11,0 days 00:01:38.335000,48,,,0 days 00:00:25.948000,0 days 00:00:29.863000,0 days 00:00:42.524000,0 days 01:29:36.803000,0 days 01:30:06.666000,0 days 01:30:49.190000,277,265,265,336,FALSE,SOFT,1,TRUE,3,0 days 01:29:10.855000,Force India,PER,1,TRUE,35:11.0,19.4,25.1,1018.1,FALSE,37.5,85,2.7,9
664,0 days 01:32:27.232000,11,0 days 00:01:38.042000,49,,,0 days 00:00:26.007000,0 days 00:00:29.610000,0 days 00:00:42.425000,0 days 01:31:15.197000,0 days 01:31:44.807000,0 days 01:32:27.232000,273,274,266,332,FALSE,SOFT,2,TRUE,3,0 days 01:30:49.190000,Force India,PER,1,TRUE,36:49.3,19.2,25.5,1018.1,FALSE,37,158,2.2,9
665,0 days 01:34:05.171000,11,0 days 00:01:37.939000,50,,,0 days 00:00:25.985000,0 days 00:00:29.844000,0 days 00:00:42.110000,0 days 01:32:53.217000,0 days 01:33:23.061000,0 days 01:34:05.171000,274,274,265,333,FALSE,SOFT,3,TRUE,3,0 days 01:32:27.232000,Force India,PER,1,TRUE,38:27.3,19.2,25.5,1018.1,FALSE,37,62,1.1,9
666,0 days 01:35:43.531000,11,0 days 00:01:38.360000,51,,,0 days 00:00:26.216000,0 days 00:00:29.870000,0 days 00:00:42.274000,0 days 01:34:31.387000,0 days 01:35:01.257000,0 days 01:35:43.531000,273,272,266,332,FALSE,SOFT,4,TRUE,3,0 days 01:34:05.171000,Force India,PER,1,TRUE,40:05.3,19.6,25.7,1018.2,FALSE,37,117,1.9,9
667,0 days 01:37:21.654000,11,0 days 00:01:38.123000,52,,,0 days 00:00:26.057000,0 days 00:00:29.755000,0 days 00:00:42.311000,0 days 01:36:09.588000,0 days 01:36:39.343000,0 days 01:37:21.654000,275,275,261,329,FALSE,SOFT,5,TRUE,3,0 days 01:35:43.531000,Force India,PER,1,TRUE,41:43.6,19.8,24.9,1018.1,FALSE,37,53,1.2,9
668,0 days 01:38:59.884000,11,0 days 00:01:38.230000,53,,,0 days 00:00:26.395000,0 days 00:00:29.368000,0 days 00:00:42.467000,0 days 01:37:48.049000,0 days 01:38:17.417000,0 days 01:38:59.884000,270,259,261,300,FALSE,SOFT,6,TRUE,3,0 days 01:37:21.654000,Force India,PER,1,TRUE,43:21.8,19.9,24.9,1018.1,FALSE,37,83,1.8,9
669,0 days 01:40:37.557000,11,0 days 00:01:37.673000,54,,,0 days 00:00:26.284000,0 days 00:00:29.130000,0 days 00:00:42.259000,0 days 01:39:26.168000,0 days 01:39:55.298000,0 days 01:40:37.557000,273,265,262,312,TRUE,SOFT,7,TRUE,3,0 days 01:38:59.884000,Force India,PER,1,TRUE,45:00.0,19.7,25.1,1018.1,FALSE,36.5,65,2.2,9
670,0 days 01:42:15.651000,11,0 days 00:01:38.094000,55,,,0 days 00:00:26.300000,0 days 00:00:29.457000,0 days 00:00:42.337000,0 days 01:41:03.857000,0 days 01:41:33.314000,0 days 01:42:15.651000,276,266,260,313,FALSE,SOFT,8,TRUE,3,0 days 01:40:37.557000,Force India,PER,1,TRUE,46:37.7,19.4,25.6,1018.1,FALSE,36.5,78,2.8,9
671,0 days 01:43:57.244000,11,0 days 00:01:41.593000,56,,,0 days 00:00:26.210000,0 days 00:00:29.363000,0 days 00:00:46.020000,0 days 01:42:41.861000,0 days 01:43:11.224000,0 days 01:43:57.244000,274,269,261,203,FALSE,SOFT,9,TRUE,3,0 days 01:42:15.651000,Force India,PER,1,TRUE,48:15.8,19.6,25.2,1018,FALSE,36.5,78,3.3,9
672,0 days 00:09:27.183000,2,,1,0 days 00:00:03.737000,,,0 days 00:00:33.440000,0 days 00:00:45.861000,,0 days 00:08:41.546000,0 days 00:09:27.280000,269,261,254,317,FALSE,,,,,0 days 00:07:35.940000,McLaren,VAN,1,FALSE,13:36.1,19.6,23.4,1018.4,FALSE,38.6,48,3.1,9
673,0 days 00:11:10.153000,2,0 days 00:01:42.970000,2,,,0 days 00:00:27.385000,0 days 00:00:31.263000,0 days 00:00:44.322000,0 days 00:09:54.568000,0 days 00:10:25.831000,0 days 00:11:10.153000,273,267,253,314,FALSE,SOFT,1,TRUE,1,0 days 00:09:27.183000,McLaren,VAN,1,TRUE,15:27.3,19.6,23.6,1018.3,FALSE,38.5,35,1.3,9
674,0 days 00:12:52.318000,2,0 days 00:01:42.165000,3,,,0 days 00:00:27.217000,0 days 00:00:31.100000,0 days 00:00:43.848000,0 days 00:11:37.370000,0 days 00:12:08.470000,0 days 00:12:52.318000,276,267,257,329,FALSE,SOFT,2,TRUE,1,0 days 00:11:10.153000,McLaren,VAN,1,TRUE,17:10.3,19.6,23.5,1018.4,FALSE,38.2,96,1.7,9
675,0 days 00:14:35.096000,2,0 days 00:01:42.778000,4,,,0 days 00:00:27.265000,0 days 00:00:31.502000,0 days 00:00:44.011000,0 days 00:13:19.583000,0 days 00:13:51.085000,0 days 00:14:35.096000,277,268,257,,FALSE,SOFT,3,TRUE,1,0 days 00:12:52.318000,McLaren,VAN,1,TRUE,18:52.4,19.5,23.3,1018.3,FALSE,38,0,1.1,9
676,0 days 00:16:15.773000,2,0 days 00:01:40.677000,5,,,0 days 00:00:26.512000,0 days 00:00:30.459000,0 days 00:00:43.706000,0 days 00:15:01.608000,0 days 00:15:32.067000,0 days 00:16:15.773000,269,265,251,307,FALSE,SOFT,4,TRUE,1,0 days 00:14:35.096000,McLaren,VAN,1,TRUE,20:35.2,19.8,22.6,1018.3,FALSE,38.1,215,1.2,9
677,0 days 00:17:57.170000,2,0 days 00:01:41.397000,6,,,0 days 00:00:27.037000,0 days 00:00:30.568000,0 days 00:00:43.792000,0 days 00:16:42.810000,0 days 00:17:13.378000,0 days 00:17:57.170000,266,258,252,304,FALSE,SOFT,5,TRUE,1,0 days 00:16:15.773000,McLaren,VAN,1,TRUE,22:15.9,19.9,23.4,1018.4,FALSE,38,85,2.1,9
678,0 days 00:19:38.103000,2,0 days 00:01:40.933000,7,,,0 days 00:00:26.872000,0 days 00:00:30.239000,0 days 00:00:43.822000,0 days 00:18:24.042000,0 days 00:18:54.281000,0 days 00:19:38.103000,268,263,253,309,FALSE,SOFT,6,TRUE,1,0 days 00:17:57.170000,McLaren,VAN,1,TRUE,23:57.3,20.2,21.8,1018.3,FALSE,37.9,252,1.7,9
679,0 days 00:21:18.889000,2,0 days 00:01:40.786000,8,,,0 days 00:00:26.867000,0 days 00:00:30.367000,0 days 00:00:43.552000,0 days 00:20:04.970000,0 days 00:20:35.337000,0 days 00:21:18.889000,,266,252,322,FALSE,SOFT,7,TRUE,1,0 days 00:19:38.103000,McLaren,VAN,1,TRUE,25:38.2,19.4,22.7,1018.3,FALSE,37.9,263,1.5,9
680,0 days 00:23:00.368000,2,0 days 00:01:41.479000,9,,,0 days 00:00:26.881000,0 days 00:00:30.727000,0 days 00:00:43.871000,0 days 00:21:45.770000,0 days 00:22:16.497000,0 days 00:23:00.368000,272,268,257,324,FALSE,SOFT,8,TRUE,1,0 days 00:21:18.889000,McLaren,VAN,1,TRUE,27:19.0,19.4,22.8,1018.3,FALSE,37.9,77,0.9,9
681,0 days 00:24:41.711000,2,0 days 00:01:41.343000,10,,,0 days 00:00:26.654000,0 days 00:00:30.863000,0 days 00:00:43.826000,0 days 00:23:27.022000,0 days 00:23:57.885000,0 days 00:24:41.711000,274,265,252,320,FALSE,SOFT,9,TRUE,1,0 days 00:23:00.368000,McLaren,VAN,1,TRUE,29:00.5,19.4,23.3,1018.3,FALSE,38.2,143,2.2,9
