,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
86,0 days 01:26:20.590000,24.1,38.2,936.1,False,44.9,56,2.8
87,0 days 01:27:20.599000,24.0,36.3,936.2,False,44.9,77,2.2
89,0 days 01:29:20.628000,23.6,37.4,936.1,False,44.6,0,1.5
7,0 days 00:07:19.478000,23.2,36.7,936.2,False,47.9,71,3.1
8,0 days 00:08:19.491000,22.7,38.1,936.3,False,47.4,58,2.8
10,0 days 00:10:19.519000,22.7,37.4,936.2,False,47.4,44,2.6
11,0 days 00:11:19.534000,22.8,37.6,936.2,False,47.3,57,2.7
12,0 days 00:12:19.547000,22.9,36.9,936.1,False,46.9,68,2.5
13,0 days 00:13:19.561000,23.2,36.6,936.2,False,46.9,71,3.0
14,0 days 00:14:19.574000,23.2,36.9,936.1,False,47.1,61,3.3
15,0 days 00:15:19.589000,23.5,37.1,936.1,False,47.1,74,3.1
17,0 days 00:17:19.617000,23.8,36.2,936.2,False,47.2,70,2.4
18,0 days 00:18:19.631000,23.6,36.3,936.2,False,47.2,41,3.4
19,0 days 00:19:19.646000,23.5,36.7,936.2,False,47.0,73,2.1
20,0 days 00:20:19.660000,23.1,37.4,936.2,False,46.9,39,2.7
21,0 days 00:21:19.673000,22.8,37.0,936.2,False,46.9,72,2.8
23,0 days 00:23:19.701000,23.0,37.2,936.1,False,46.4,40,2.5
24,0 days 00:24:19.715000,22.8,37.7,936.1,False,46.6,58,1.8
25,0 days 00:25:19.732000,23.0,37.4,936.1,False,46.7,44,2.9
27,0 days 00:27:19.757000,22.2,39.4,936.1,False,46.7,64,2.6
28,0 days 00:28:19.774000,22.2,39.4,936.1,False,46.7,64,2.6
29,0 days 00:29:51.855000,22.6,39.5,936.1,False,46.7,67,4.0
30,0 days 00:30:19.800000,22.9,38.0,936.1,False,46.7,68,3.9
32,0 days 00:32:19.848000,23.1,38.3,936.1,False,46.4,65,3.1
33,0 days 00:33:19.909000,23.2,37.5,936.1,False,45.3,64,2.6
34,0 days 00:34:19.871000,22.7,38.5,936.1,False,44.6,68,2.3
35,0 days 00:35:19.891000,22.8,38.3,936.0,False,44.2,67,2.8
36,0 days 00:36:19.893000,22.8,38.4,936.1,False,45.1,65,2.8
37,0 days 00:37:19.903000,23.1,38.3,936.1,False,45.2,62,3.5
39,0 days 00:39:19.929000,22.6,38.7,936.1,False,45.4,66,1.9
40,0 days 00:40:19.939000,22.8,38.1,936.0,False,45.5,63,3.8
41,0 days 00:41:19.953000,22.9,38.3,936.0,False,45.4,50,3.4
42,0 days 00:42:19.967000,22.7,38.2,936.0,False,45.5,67,3.3
43,0 days 00:43:19.981000,22.4,39.5,936.0,False,45.7,87,2.0
44,0 days 00:44:19.997000,22.9,38.4,936.1,False,46.1,70,1.5
46,0 days 00:46:20.023000,23.4,37.3,936.0,False,45.7,65,3.5
47,0 days 00:47:20.037000,23.4,36.4,936.1,False,45.7,52,1.6
48,0 days 00:48:20.052000,23.0,37.2,936.0,False,45.7,38,1.9
49,0 days 00:49:20.066000,22.9,37.7,936.0,False,45.7,62,2.1
50,0 days 00:50:20.081000,22.9,37.7,936.1,False,45.6,74,2.5
51,0 days 00:51:20.095000,23.2,37.0,936.1,False,45.7,85,2.7
