,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
41,0 days 00:41:58.081000,23.9,34.9,996.7,False,37.8,279,2.5
42,0 days 00:42:58.162000,23.7,34.4,996.8,False,37.1,318,2.2
44,0 days 00:44:57.659000,23.7,33.4,996.9,False,36.6,290,3.7
46,0 days 00:46:57.915000,24.1,30.9,996.8,False,37.8,298,2.9
48,0 days 00:48:57.915000,24.5,28.1,996.8,False,38.4,320,3.7
50,0 days 00:50:57.738000,24.7,27.0,996.9,False,38.5,300,4.3
52,0 days 00:52:58.114000,24.8,25.9,996.8,False,38.3,286,4.9
54,0 days 00:54:58.017000,24.4,25.6,996.7,False,38.0,303,6.2
55,0 days 00:55:57.800000,24.2,26.0,996.8,False,37.6,312,5.3
57,0 days 00:57:57.898000,24.2,26.4,996.9,False,37.3,300,4.9
59,0 days 00:59:57.901000,24.3,27.4,996.8,False,37.4,313,4.0
60,0 days 01:00:58.138000,24.4,27.8,996.9,False,37.4,318,3.6
62,0 days 01:02:58.026000,24.5,25.6,996.9,False,37.5,278,5.2
63,0 days 01:03:57.922000,24.5,26.4,997.0,False,37.5,294,3.5
65,0 days 01:05:57.945000,24.4,25.7,997.0,False,37.0,290,4.5
66,0 days 01:06:58.031000,24.2,25.7,997.0,False,36.8,333,6.0
68,0 days 01:08:57.986000,24.1,26.1,997.0,False,36.6,309,2.8
69,0 days 01:09:58.189000,24.2,26.1,997.0,False,36.7,312,6.6
71,0 days 01:11:58.267000,24.0,26.5,997.1,False,36.5,292,3.8
72,0 days 01:12:58.356000,24.0,25.8,997.0,False,36.7,290,4.2
74,0 days 01:14:58.072000,24.1,25.7,997.0,False,36.5,306,5.1
75,0 days 01:15:58.086000,24.0,25.7,997.0,False,36.3,254,3.7
77,0 days 01:17:58.620000,24.0,25.6,997.1,False,36.5,294,5.3
78,0 days 01:18:58.130000,23.9,26.0,997.0,False,36.2,328,5.7
80,0 days 01:20:58.199000,23.8,26.6,997.0,False,35.7,306,4.5
81,0 days 01:21:58.173000,23.8,26.6,997.0,False,35.7,306,4.5
83,0 days 01:23:58.200000,23.4,27.5,997.0,False,34.3,284,5.0
84,0 days 01:24:58.216000,23.3,27.9,997.1,False,34.0,295,3.2
86,0 days 01:26:58.242000,24.2,28.3,997.1,False,33.9,302,3.8
87,0 days 01:27:58.257000,24.2,28.3,997.0,False,33.6,326,4.2
89,0 days 01:29:58.284000,24.1,28.7,997.0,False,33.4,325,4.5
90,0 days 01:30:58.298000,24.2,28.5,997.0,False,33.6,290,4.9
92,0 days 01:32:58.324000,24.2,28.5,997.1,False,33.4,313,5.4
93,0 days 01:33:58.336000,24.1,28.8,997.1,False,33.2,310,4.6
94,0 days 01:34:58.430000,24.2,29.0,997.2,False,33.2,301,3.9
